"when","method","url","status","message","body"
"2025/09/22 9:56:31","GET","https://hcodeoathneftqkmjyoh.supabase.co/rest/v1/=*&limit=1","406","???? ??????????????: (406) ????","{""code"":""PGRST106"",""details"":null,""hint"":null,""message"":""The schema must be one of the following: public, graphql_public""}"
"2025/09/22 9:56:32","GET","https://hcodeoathneftqkmjyoh.supabase.co/rest/v1/=*&limit=1000&offset=0","406","リモート サーバーがエラーを返しました: (406) 受容不可","{""code"":""PGRST106"",""details"":null,""hint"":null,""message"":""The schema must be one of the following: public, graphql_public""}"
